coder_id,session_id,emotional_depth,specificity,latent_surfacing,narrative_quality,clinical_grounding,composite,notes
coder_A,S_002,,,,,,,
coder_B,S_002,,,,,,,
coder_A,S_019,,,,,,,
coder_B,S_019,,,,,,,
coder_A,S_023,,,,,,,
coder_B,S_023,,,,,,,
coder_A,S_033,,,,,,,
coder_B,S_033,,,,,,,
coder_A,S_034,,,,,,,
coder_B,S_034,,,,,,,
coder_A,S_047,,,,,,,
coder_B,S_047,,,,,,,
coder_A,S_077,,,,,,,
coder_B,S_077,,,,,,,
coder_A,S_106,,,,,,,
coder_B,S_106,,,,,,,
coder_A,S_109,,,,,,,
coder_B,S_109,,,,,,,
coder_A,S_121,,,,,,,
coder_B,S_121,,,,,,,
coder_A,S_122,,,,,,,
coder_B,S_122,,,,,,,
coder_A,S_123,,,,,,,
coder_B,S_123,,,,,,,
coder_A,S_127,,,,,,,
coder_B,S_127,,,,,,,
coder_A,S_166,,,,,,,
coder_B,S_166,,,,,,,
coder_A,S_177,,,,,,,
coder_B,S_177,,,,,,,
coder_A,S_180,,,,,,,
coder_B,S_180,,,,,,,
coder_A,S_204,,,,,,,
coder_B,S_204,,,,,,,
coder_A,S_207,,,,,,,
coder_B,S_207,,,,,,,
coder_A,S_211,,,,,,,
coder_B,S_211,,,,,,,
coder_A,S_214,,,,,,,
coder_B,S_214,,,,,,,
coder_A,S_223,,,,,,,
coder_B,S_223,,,,,,,
coder_A,S_225,,,,,,,
coder_B,S_225,,,,,,,
coder_A,S_228,,,,,,,
coder_B,S_228,,,,,,,
coder_A,S_235,,,,,,,
coder_B,S_235,,,,,,,
coder_A,S_238,,,,,,,
coder_B,S_238,,,,,,,
coder_A,S_264,,,,,,,
coder_B,S_264,,,,,,,
coder_A,S_269,,,,,,,
coder_B,S_269,,,,,,,
coder_A,S_271,,,,,,,
coder_B,S_271,,,,,,,
coder_A,S_272,,,,,,,
coder_B,S_272,,,,,,,
coder_A,S_275,,,,,,,
coder_B,S_275,,,,,,,
